origin,destination,distance
AE,NL,5185.7
AE,NO,5385.001
AE,NP,3069.828
AE,NR,12376.845
AE,NU,15475.087
AE,NZ,14250.971
AE,OM,301.081
AE,PA,13937.463
AE,PE,14364.9
AE,PF,17514.435
AE,PG,10297.15
AE,PH,7212.562
AE,PK,1717.845
AE,PL,4326.073
AE,PM,9529.43
AE,PN,19821.903
AE,PR,12064.25
AE,PS,2059.305
AE,PT,6031.021
AE,PW,8734.705
AE,PY,13178.941
AE,QA,344.761
AE,RE,4955.91
AE,RO,3601.95
AE,RS,3762.353
AE,RU,5731.047
AE,RW,3832.159
AE,SA,894.437
AE,SB,12087.011
AE,SC,3130.072
AE,SD,2753.461
AE,SE,4903.519
AE,SG,5912.789
AE,SH,8685.316
AE,SI,4290.049
AE,SJ,6293.184
AE,SK,4099.63
AE,SL,7154.329
AE,SM,4393.095
AE,SN,7189.88
AE,SO,2190.942
AE,SR,11842.55
AE,SS,3030.403
AE,ST,5711.76
AE,SV,14223.539
AE,SX,11760.221
AE,SY,1914.709
AE,SZ,6052.702
AE,TC,12285.09
AE,TD,3776.816
AE,TF,8229.148
AE,TG,5865.733
AE,TH,4986.543
AE,TJ,2378.395
AE,TK,14902.674
AE,TL,14987.275
AE,TM,1810.794
AE,TN,4441.168
AE,TO,14987.275
AE,TR,2463.61
AE,TT,12004.296
AE,TV,13761.724
AE,TW,6770.206
AE,TZ,3900.672
AE,UA,3418.078
AE,UG,3378.181
AE,UM,11318.674
AE,US,12569.097
AE,US-AK,10027.871
AE,US-AL,12545.933
AE,US-AZ,13428.989
AE,US-AR,12560.625
AE,US-CA,13283.727
AE,US-CO,12700.024
AE,US-CT,10956.253
AE,US-DE,11311.632
AE,US-FL,12582.136
AE,US-GA,12313.572
AE,US-HI,14274.004
AE,US-ID,12420.685
AE,US-IL,11942.394
AE,US-IN,11810.731
AE,US-IA,11997.277
AE,US-KS,12499.291
AE,US-KY,11919.706
AE,US-LA,12966.003
AE,US-ME,10468.175
AE,US-MD,11370.451
AE,US-MA,10791.508
AE,US-MI,11428.251
AE,US-MN,11597.703
AE,US-MS,12687.169
AE,US-MO,12305.511
AE,US-MT,12038.218
AE,US-NE,12306.414
AE,US-NV,13021.909
AE,US-NH,10745.739
AE,US-NJ,11154.075
AE,US-NM,13223.302
AE,US-NY,11079.795
AE,US-NC,11785.545
AE,US-ND,11710.12
AE,US-OH,11624.869
AE,US-OK,12831.666
AE,US-OR,12517.844
AE,US-PA,11284.662
AE,US-RI,10857.714
AE,US-SC,12033.03
AE,US-SD,12004.671
AE,US-TN,12249.976
AE,US-TX,13253.051
AE,US-UT,12864.66
AE,US-VT,10705.241
AE,US-VA,11636.16
AE,US-WA,12082.268
AE,US-WV,11669.043
AE,US-WI,11626.839
AE,US-WY,12372.611
AE,UY,13149.648
AE,UZ,2232.089
AE,VA,4329.718
AE,VC,11885.149
AE,VE,12751.162
AE,VG,11879.538
AE,VI,11907.413
AE,VN,5792.781
AE,VU,13000.507
AE,WF,14561.228
AE,WS,15075.55
AE,XK,3701.826
AE,YE,1038.122
AE,YT,4140.164
AE,ZA,6848.361
AE,ZM,4952.006
AE,ZW,5426.527
AF,AD,5705.718
AF,AE,1784.342
AF,AF,0
AF,AG,12222.866
AF,AI,12218.59
AF,AL,4214.131
AF,AM,2118.48
AF,AO,7271.115
AF,AQ,13448.286
AF,AR,15668.572
AF,AS,13682.009
AF,AT,4626.7
AF,AU,9586.84
AF,AW,13181.095
AF,AX,4545.206
