origin,destination,distance
AI,ZW,10881.30909
AL,AD,1542.517822
AL,AE,3694.273216
AL,AF,4214.130992
AL,AG,8108.456306
AL,AI,8133.098552
AL,AL,0
AL,AM,2095.655982
AL,AN,9052.976282
AL,AO,5826.48734
AL,AR,12251.92599
AL,AT,836.2926462
AL,AU,13745.51306
AL,AW,9106.761799
AL,AZ,2305.531747
AL,BA,368.6854994
AL,BB,8191.961521
AL,BD,6685.959479
AL,BE,1594.367414
AL,BF,3848.327776
AL,BG,473.5012816
AL,BH,3266.750404
AL,BI,5048.996429
AL,BJ,3952.035955
AL,BM,7329.140757
AL,BN,10056.15341
AL,BO,10684.13145
AL,BR,9608.614764
AL,BS,8798.328937
AL,BT,6452.455101
AL,BW,7074.24527
AL,BY,1511.879841
AL,BZ,10235.23067
AL,CA,8088.271372
