subdivision,period,Bioenergy,Hydro,Solar,Wind
US-TN,2019-07,0.0815,0.8746,0.0408,0.0031
US-TX,2019-07,0.0155,0.024,0.0653,0.8953
US-UT,2019-07,0.0158,0.2241,0.5781,0.1819
US-VA,2019-07,0.79,0,0.21,0
US-VT,2019-07,0.3038,0.4651,0.1174,0.1138
US-WA,2019-07,0.0215,0.8491,0.0008,0.1286
US-WI,2019-07,0.2623,0.5092,0.011,0.2174
US-WV,2019-07,0,0.5218,0,0.4782
US-WY,2019-07,0,0.2357,0.0519,0.7125
CA-AB,2019-08,0.5086,0.2728,0.0029,0.2158
CA-BC,2019-08,0.0125,0.9619,0,0.0255
CA-MB,2019-08,0.0001,0.9777,0,0.0222
CA-NB,2019-08,0.1774,0.6353,0,0.1873
CA-NL,2019-08,0.0008,0.9961,0,0.0031
CA-NS,2019-08,0.3585,0.2091,0,0.4324
CA-NT,2019-08,0.1559,0.7743,0.0013,0.0684
CA-NU,2019-08,1,0,0,0
CA-ON,2019-08,0.0337,0.7316,0.0873,0.1474
CA-PE,2019-08,0.0011,0,0.0021,0.9968
CA-QC,2019-08,0.001,0.9571,0,0.0419
CA-SK,2019-08,0.2741,0.6171,0,0.1087
CA-YT,2019-08,0.0045,0.9955,0,0
US-AK,2019-08,0.0253,0.9089,0,0.0658
US-AL,2019-08,0.2616,0.7052,0.0332,0
US-AR,2019-08,0.3004,0.634,0.0657,0
US-AZ,2019-08,0.0146,0.5194,0.4373,0.0287
US-CA,2019-08,0.0587,0.4219,0.3597,0.1597
US-CO,2019-08,0.0133,0.1544,0.1224,0.7099
US-CT,2019-08,0.7128,0.131,0.1506,0.0056
US-DC,2019-08,0.8493,0,0.1507,0
US-DE,2019-08,0.4926,0,0.483,0.0244
US-FL,2019-08,0.523,0.0152,0.4618,0
US-GA,2019-08,0.6068,0.1454,0.2478,0
US-HI,2019-08,0.2743,0.092,0.249,0.3847
US-IA,2019-08,0.0193,0.0345,0.0015,0.9447
US-ID,2019-08,0.0331,0.7847,0.0484,0.1338
US-IL,2019-08,0.0549,0.0215,0.012,0.9116
US-IN,2019-08,0.1136,0.0652,0.1214,0.6998
US-KS,2019-08,0.0044,0.0008,0.0011,0.9937
US-KY,2019-08,0.0843,0.9051,0.0106,0
US-LA,2019-08,0.713,0.2863,0.0006,0
US-MA,2019-08,0.4038,0,0.5542,0.042
US-MD,2019-08,0.1908,0.3757,0.2508,0.1827
US-ME,2019-08,0.4609,0.2687,0.0019,0.2686
US-MI,2019-08,0.3984,0.0832,0.0364,0.4819
US-MN,2019-08,0.1137,0.0654,0.1863,0.6346
US-MO,2019-08,0.0368,0.4135,0.0425,0.5072
US-MS,2019-08,0.8144,0,0.1856,0
US-MT,2019-08,0.0016,0.859,0.0028,0.1366
US-NC,2019-08,0.1683,0.2587,0.5556,0.0174
US-ND,2019-08,0,0.1806,0,0.8194
US-NE,2019-08,0.011,0.146,0.0075,0.8354
US-NH,2019-08,0.6429,0.2507,0,0.1063
US-NJ,2019-08,0.3474,0,0.6465,0.0062
