country,period,Bioenergy,Hydro,Solar,Wind
SK,2020-11,0.1529,0.7865,0.0448,0.0159
SK,2020-12,0.2031,0.7473,0.0269,0.0227
SK,2021-01,0.1776,0.7776,0.0447,0
SK,2021-02,0.1455,0.8182,0.0363,0
SK,2021-03,0.1547,0.7365,0.0984,0.0104
SK,2021-04,0.1596,0.7091,0.1076,0.0237
SK,2021-05,0.1188,0.7736,0.0941,0.0135
SK,2021-06,0.1316,0.7215,0.1375,0.0094
SK,2021-07,0.1386,0.7356,0.1213,0.0045
SK,2021-08,0.1322,0.7736,0.0943,0
SK,2021-09,0.1187,0.7602,0.1192,0.0018
SK,2021-10,0.1816,0.6217,0.1149,0.0817
SK,2021-11,0.2522,0.6315,0.0672,0.0491
SK,2021-12,0.2177,0.7022,0.0309,0.0493
SK,2022-01,0.1428,0.7921,0.0424,0.0227
SK,2022-02,0.1212,0.8041,0.0619,0.0129
SK,2022-03,0.1576,0.6778,0.1265,0.0381
SK,2022-04,0.1276,0.7109,0.1091,0.0524
SK,2022-05,0.1288,0.6914,0.146,0.0337
SK,2022-06,0.1467,0.6265,0.1783,0.0485
SK,2022-07,0.1858,0.5798,0.2039,0.0305
SK,2022-08,0.1873,0.6024,0.1962,0.0141
SK,2022-09,0.0937,0.7415,0.1311,0.0337
SK,2022-10,0.1623,0.7568,0.0809,0
SK,2022-11,0.1902,0.7632,0.0335,0.0131
SK,2022-12,0.1621,0.811,0.0269,0
SK,2023-01,0.1395,0.8373,0.0232,0
SK,2023-02,0.154,0.7883,0.0577,0
SK,2023-03,0.1294,0.7966,0.074,0
SK,2023-04,0.1112,0.7963,0.0925,0
SK,2023-05,0.1111,0.7936,0.0953,0
SK,2023-06,0.1335,0.7331,0.1335,0
SK,2023-07,0.1843,0.6579,0.1579,0
SK,2023-08,0.1569,0.7256,0.1175,0
SK,2023-09,0.143,0.7139,0.143,0
SK,2023-10,0.2257,0.6778,0.0965,0
SK,2023-11,0.1295,0.8333,0.0372,0
SK,2023-12,0.103,0.8824,0.0146,0
SK,2024-01,0.1144,0.8569,0.0287,0
SK,2024-02,0.116,0.8403,0.0437,0
SK,2024-03,0.1456,0.7819,0.0725,0
SK,2024-04,0.1402,0.7545,0.1053,0
SK,2024-05,0.1568,0.7058,0.1373,0
SK,2024-06,0.1225,0.7671,0.1089,0.0015
SK,2024-07,0.151,0.7169,0.1321,0
SK,2024-08,0.1749,0.6501,0.1749,0
SK,2024-09,0.1086,0.7828,0.1086,0
SK,2024-10,0.1553,0.7558,0.0889,0
SK,2024-11,0.2256,0.7096,0.0648,0
SK,2024-12,0.2118,0.7578,0.0304,0
SK,2025-01,0.1943,0.7781,0.0276,0
SK,2025-02,0.1936,0.6776,0.1288,0
SK,2025-03,0.2003,0.6571,0.1427,0
SK,2025-04,0.2433,0.5944,0.1622,0
SK,2025-05,0.237,0.5786,0.1844,0
SK,2025-06,0.1843,0.605,0.2107,0
SK,2025-07,0.1819,0.6592,0.1589,0
