id,family,name,category,vcpus,memory,ssd,hdd,cpu,accelerators,accelerator
d32s-v6,dsv6,d32s v6,general,32,128,0,0,intel-xeon-8573c,0,
d3s,dsv1,d3s,general,4,14,28,0,intel-xeon-8171m,0,
d4,dv1,d4,general,8,28,400,0,intel-xeon-8272cl,0,
d4-v2,dv2,d4 v2,general,8,28,400,0,"intel-xeon-8370c,intel-xeon-8272cl,intel-xeon-8171m,intel-xeon-e52673v4,intel-xeon-e52673v3",0,
d4-v3,dv3,d4 v3,general,4,16,100,0,"intel-xeon-8370c,intel-xeon-8272cl,intel-xeon-8171m,intel-xeon-e52673v4,intel-xeon-e52673v3",0,
d4-v4,dv4,d4 v4,general,4,16,0,0,"intel-xeon-8370c,intel-xeon-8272cl,intel-xeon-8473c",0,
d4-v5,dv5,d4 v5,general,4,16,0,0,"intel-xeon-8473c,intel-xeon-8370c",0,
d48-v3,dv3,d48 v3,general,48,192,1200,0,"intel-xeon-8370c,intel-xeon-8272cl,intel-xeon-8171m,intel-xeon-e52673v4,intel-xeon-e52673v3",0,
d48-v4,dv4,d48 v4,general,48,192,0,0,"intel-xeon-8370c,intel-xeon-8272cl,intel-xeon-8473c",0,
d48-v5,dv5,d48 v5,general,48,192,0,0,"intel-xeon-8473c,intel-xeon-8370c",0,
d48a-v4,dav4,d48a v4,general,48,192,1200,0,"amd-epyc-7452,amd-epyc-7763v",0,
d48ads-v5,dadsv5,d48ads v5,general,48,192,1800,0,amd-epyc-7763v,0,
d48ads-v6,dadsv6,d48ads v6,general,48,192,2640,0,amd-epyc-9004,0,
d48alds-v6,daldsv6,d48alds v6,general,48,96,2640,0,amd-epyc-9004,0,
d48als-v6,dalsv6,d48als v6,general,48,96,0,0,amd-epyc-9004,0,
d48as-v4,dasv4,d48as v4,general,48,192,384,0,"amd-epyc-7452,amd-epyc-7763v",0,
d48as-v5,dasv5,d48as v5,general,48,192,0,0,amd-epyc-7763v,0,
d48as-v6,dasv6,d48as v6,general,48,192,0,0,amd-epyc-9004,0,
d48d-v4,ddv4,d48d v4,general,48,192,1800,0,"intel-xeon-8370c,intel-xeon-8272cl",0,
d48d-v5,ddv5,d48d v5,general,48,192,1800,0,intel-xeon-8370c,0,
d48ds-v4,ddsv4,d48ds v4,general,48,192,1800,0,"intel-xeon-8370c,intel-xeon-8272cl",0,
d48ds-v5,ddsv5,d48ds v5,general,48,192,1800,0,intel-xeon-8370c,0,
d48ds-v6,ddsv6,d48ds v6,general,48,192,2640,0,intel-xeon-8573c,0,
d48lds-v5,dldsv5,d48lds v5,general,48,96,1800,0,"intel-xeon-8473c,intel-xeon-8370c",0,
d48lds-v6,dldsv6,d48lds v6,general,48,96,2640,0,intel-xeon-8573c,0,
d48ls-v5,dlsv5,d48ls v5,general,48,96,0,0,"intel-xeon-8473c,intel-xeon-8370c",0,
d48ls-v6,dlsv6,d48ls v6,general,48,96,0,0,intel-xeon-8573c,0,
d48pds-v5,dpdsv5,d48pds v5,general,48,192,1800,0,ampere-altra-q8030,0,
d48pds-v6,dpdsv6,d48pds v6,general,48,192,2640,0,azure-cobalt-100,0,
d48plds-v5,dpldsv5,d48plds v5,general,48,96,1800,0,ampere-altra-q8030,0,
d48plds-v6,dpldsv6,d48plds v6,general,48,96,2640,0,azure-cobalt-100,0,
d48pls-v5,dplsv5,d48pls v5,general,48,96,0,0,ampere-altra-q8030,0,
d48pls-v6,dplsv6,d48pls v6,general,48,96,0,0,azure-cobalt-100,0,
d48ps-v5,dpsv5,d48ps v5,general,48,192,0,0,ampere-altra-q8030,0,
d48ps-v6,dpsv6,d48ps v6,general,48,192,0,0,azure-cobalt-100,0,
d48s-v3,dsv3,d48s v3,general,48,192,384,0,"intel-xeon-8370c,intel-xeon-8272cl,intel-xeon-8171m,intel-xeon-e52673v4,intel-xeon-e52673v3",0,
d48s-v4,dsv4,d48s v4,general,48,192,0,0,"intel-xeon-8473c,intel-xeon-8370c,intel-xeon-8272cl",0,
d48s-v5,dsv5,d48s v5,general,48,192,0,0,"intel-xeon-8473c,intel-xeon-8370c",0,
d48s-v6,dsv6,d48s v6,general,48,192,0,0,intel-xeon-8573c,0,
d4a-v4,dav4,d4a v4,general,4,16,100,0,"amd-epyc-7452,amd-epyc-7763v",0,
d4ads-v5,dadsv5,d4ads v5,general,4,16,150,0,amd-epyc-7763v,0,
d4ads-v6,dadsv6,d4ads v6,general,4,16,220,0,amd-epyc-9004,0,
d4alds-v6,daldsv6,d4alds v6,general,4,8,220,0,amd-epyc-9004,0,
d4als-v6,dalsv6,d4als v6,general,4,8,0,0,amd-epyc-9004,0,
d4as-v4,dasv4,d4as v4,general,4,16,32,0,"amd-epyc-7452,amd-epyc-7763v",0,
d4as-v5,dasv5,d4as v5,general,4,16,0,0,amd-epyc-7763v,0,
d4as-v6,dasv6,d4as v6,general,4,16,0,0,amd-epyc-9004,0,
d4d-v4,ddv4,d4d v4,general,4,16,150,0,"intel-xeon-8370c,intel-xeon-8272cl",0,
d4d-v5,ddv5,d4d v5,general,4,16,150,0,intel-xeon-8370c,0,
d4ds-v4,ddsv4,d4ds v4,general,4,16,150,0,"intel-xeon-8370c,intel-xeon-8272cl",0,
d4ds-v5,ddsv5,d4ds v5,general,4,16,150,0,intel-xeon-8370c,0,
d4ds-v6,ddsv6,d4ds v6,general,4,16,220,0,intel-xeon-8573c,0,
d4lds-v5,dldsv5,d4lds v5,general,4,8,150,0,"intel-xeon-8473c,intel-xeon-8370c",0,
d4lds-v6,dldsv6,d4lds v6,general,4,8,220,0,intel-xeon-8573c,0,
d4ls-v5,dlsv5,d4ls v5,general,4,8,0,0,"intel-xeon-8473c,intel-xeon-8370c",0,
d4ls-v6,dlsv6,d4ls v6,general,4,8,0,0,intel-xeon-8573c,0,
d4pds-v5,dpdsv5,d4pds v5,general,4,16,150,0,ampere-altra-q8030,0,
d4pds-v6,dpdsv6,d4pds v6,general,4,16,220,0,azure-cobalt-100,0,
d4plds-v5,dpldsv5,d4plds v5,general,4,8,150,0,ampere-altra-q8030,0,
d4plds-v6,dpldsv6,d4plds v6,general,4,8,220,0,azure-cobalt-100,0,
d4pls-v5,dplsv5,d4pls v5,general,4,8,0,0,ampere-altra-q8030,0,
d4pls-v6,dplsv6,d4pls v6,general,4,8,0,0,azure-cobalt-100,0,
d4ps-v5,dpsv5,d4ps v5,general,4,16,0,0,ampere-altra-q8030,0,
d4ps-v6,dpsv6,d4ps v6,general,4,16,0,0,azure-cobalt-100,0,
d4s,dsv1,d4s,general,8,28,56,0,intel-xeon-8272cl,0,
d4s-v3,dsv3,d4s v3,general,4,16,32,0,"intel-xeon-8370c,intel-xeon-8272cl,intel-xeon-8171m,intel-xeon-e52673v4,intel-xeon-e52673v3",0,
d4s-v4,dsv4,d4s v4,general,4,16,0,0,"intel-xeon-8473c,intel-xeon-8370c,intel-xeon-8272cl",0,
d4s-v5,dsv5,d4s v5,general,4,16,0,0,"intel-xeon-8473c,intel-xeon-8370c",0,
d4s-v6,dsv6,d4s v6,general,4,16,0,0,intel-xeon-8573c,0,
d5-v2,dv2,d5 v2,general,16,56,800,0,"intel-xeon-8370c,intel-xeon-8272cl,intel-xeon-8171m,intel-xeon-e52673v4,intel-xeon-e52673v3",0,
d64-v3,dv3,d64 v3,general,64,256,1600,0,"intel-xeon-8370c,intel-xeon-8272cl,intel-xeon-8171m,intel-xeon-e52673v4,intel-xeon-e52673v3",0,
d64-v4,dv4,d64 v4,general,64,256,0,0,"intel-xeon-8370c,intel-xeon-8272cl,intel-xeon-8473c",0,
