id,family,category,vcpus,memory,ssd,hdd,cpu
e2-highcpu-2,e2-highcpu-2,general,2,2,0,,"intel-xeon-8173m,intel-xeon-e52696v4,amd-epyc-7b13,amd-epyc-7b12"
e2-highcpu-32,e2-highcpu-32,general,32,32,0,,"intel-xeon-8173m,intel-xeon-e52696v4,amd-epyc-7b13,amd-epyc-7b12"
e2-highcpu-4,e2-highcpu-4,general,4,4,0,,"intel-xeon-8173m,intel-xeon-e52696v4,amd-epyc-7b13,amd-epyc-7b12"
e2-highcpu-8,e2-highcpu-8,general,8,8,0,,"intel-xeon-8173m,intel-xeon-e52696v4,amd-epyc-7b13,amd-epyc-7b12"
e2-highmem-16,e2-highmem-16,general,16,128,0,,"intel-xeon-8173m,intel-xeon-e52696v4,amd-epyc-7b13,amd-epyc-7b12"
e2-highmem-2,e2-highmem-2,general,2,16,0,,"intel-xeon-8173m,intel-xeon-e52696v4,amd-epyc-7b13,amd-epyc-7b12"
e2-highmem-4,e2-highmem-4,general,4,32,0,,"intel-xeon-8173m,intel-xeon-e52696v4,amd-epyc-7b13,amd-epyc-7b12"
e2-highmem-8,e2-highmem-8,general,8,64,0,,"intel-xeon-8173m,intel-xeon-e52696v4,amd-epyc-7b13,amd-epyc-7b12"
e2-medium,e2-medium,general,2,4,0,,"intel-xeon-8173m,intel-xeon-e52696v4,amd-epyc-7b13,amd-epyc-7b12"
e2-micro,e2-micro,general,2,1,0,,"intel-xeon-8173m,intel-xeon-e52696v4,amd-epyc-7b13,amd-epyc-7b12"
e2-small,e2-small,general,2,2,0,,"intel-xeon-8173m,intel-xeon-e52696v4,amd-epyc-7b13,amd-epyc-7b12"
e2-standard-16,e2-standard-16,general,16,64,0,,"intel-xeon-8173m,intel-xeon-e52696v4,amd-epyc-7b13,amd-epyc-7b12"
e2-standard-2,e2-standard-2,general,2,8,0,,"intel-xeon-8173m,intel-xeon-e52696v4,amd-epyc-7b13,amd-epyc-7b12"
e2-standard-32,e2-standard-32,general,32,128,0,,"intel-xeon-8173m,intel-xeon-e52696v4,amd-epyc-7b13,amd-epyc-7b12"
e2-standard-4,e2-standard-4,general,4,16,0,,"intel-xeon-8173m,intel-xeon-e52696v4,amd-epyc-7b13,amd-epyc-7b12"
e2-standard-8,e2-standard-8,general,8,32,0,,"intel-xeon-8173m,intel-xeon-e52696v4,amd-epyc-7b13,amd-epyc-7b12"
f1-micro,f1-micro,general,1,0.6,0,,"intel-xeon-8173m,intel-xeon-e52696v4,intel-xeon-e52696v3,intel-xeon-e52696v2,intel-xeon-e52689"
g1-small,g1-small,general,1,1.7,0,,"intel-xeon-8173m,intel-xeon-e52696v4,intel-xeon-e52696v3,intel-xeon-e52696v2,intel-xeon-e52689"
g2-standard-12,g2-standard-12,accelerated,12,48,375,,intel-xeon-8273cl
g2-standard-16,g2-standard-16,accelerated,16,64,375,,intel-xeon-8273cl
g2-standard-24,g2-standard-24,accelerated,24,96,375,,intel-xeon-8273cl
g2-standard-32,g2-standard-32,accelerated,32,128,375,,intel-xeon-8273cl
g2-standard-4,g2-standard-4,accelerated,4,16,375,,intel-xeon-8273cl
g2-standard-48,g2-standard-48,accelerated,48,192,1500,,intel-xeon-8273cl
g2-standard-8,g2-standard-8,accelerated,8,32,375,,intel-xeon-8273cl
g2-standard-96,g2-standard-96,accelerated,96,384,3000,,intel-xeon-8273cl
h3-standard-88,h3-standard-88,compute,88,352,0,,intel-xeon-8481c
m1-megamem-96,m1-megamem-96,memory,96,1433.6,3000,,intel-xeon-8173m
m1-ultramem-160,m1-ultramem-160,memory,160,3844,0,,intel-xeon-e78880v4
m1-ultramem-40,m1-ultramem-40,memory,40,961,0,,intel-xeon-e78880v4
m1-ultramem-80,m1-ultramem-80,memory,80,1922,0,,intel-xeon-e78880v4
m2-hypermem-416,m2-hypermem-416,memory,416,8832,0,,intel-xeon-8280l
m2-megamem-416,m2-megamem-416,memory,416,5888,0,,intel-xeon-8280l
m2-ultramem-208,m2-ultramem-208,memory,208,5888,0,,intel-xeon-8280l
m2-ultramem-416,m2-ultramem-416,memory,416,11776,0,,intel-xeon-8280l
m3-megamem-128,m3-megamem-128,memory,128,1952,3000,,intel-xeon-8373c
m3-megamem-64,m3-megamem-64,memory,64,976,1500,,intel-xeon-8373c
m3-ultramem-128,m3-ultramem-128,memory,128,3904,3000,,intel-xeon-8373c
m3-ultramem-32,m3-ultramem-32,memory,32,976,1500,,intel-xeon-8373c
m3-ultramem-64,m3-ultramem-64,memory,64,1952,1500,,intel-xeon-8373c
n1-highcpu-16,n1-highcpu-16,general,16,14.4,375,,"intel-xeon-8173m,intel-xeon-e52696v4,intel-xeon-e52696v3,intel-xeon-e52696v2,intel-xeon-e52689"
n1-highcpu-2,n1-highcpu-2,general,2,1.8,375,,"intel-xeon-8173m,intel-xeon-e52696v4,intel-xeon-e52696v3,intel-xeon-e52696v2,intel-xeon-e52689"
