subdivision,period,adpe,ap,ctue,ctuh-c,ctuh-nc,gwp,ir,pm,wu
US-KY,2019-02,9.59227e-9,0.0000175448,0.00145255,2.40362e-11,1.71125e-10,0.00106162,0.0000626885,5.36843e-7,0.000599346
US-LA,2019-02,2.22913e-8,0.0000695432,0.00118363,3.54724e-11,4.83956e-10,0.00265588,0.000106139,0.00000240184,0.00232558
US-MA,2019-02,2.28144e-7,0.000100959,0.00475872,2.15615e-10,1.01694e-9,0.00475216,0.000450961,0.00000311795,0.00394163
US-MD,2019-02,7.51347e-8,0.0000270987,0.00429091,1.61075e-10,3.93736e-10,0.00212857,0.000197908,6.87765e-7,0.00114503
US-ME,2019-02,3.45876e-7,0.000511634,0.0317476,2.0328e-9,4.39556e-9,0.0234715,0.00113577,0.000016984,0.0186583
US-MI,2019-02,5.65047e-8,0.0000521447,0.00449204,3.675e-10,4.94988e-10,0.0024458,0.000128507,0.00000171399,0.00205873
US-MN,2019-02,1.68553e-7,0.0000578332,0.0142353,1.19417e-9,9.07869e-10,0.0041239,0.000302995,0.00000162223,0.00303753
US-MO,2019-02,2.65703e-8,0.00000659153,0.00312578,2.19191e-10,1.58643e-10,0.000810085,0.0000627494,1.27873e-7,0.000413238
US-MS,2019-02,3.64521e-8,0.0000544049,0.000541986,2.98444e-11,3.83758e-10,0.00195036,0.0000954849,0.00000187779,0.00186886
US-MT,2019-02,7.76254e-8,0.0000201489,0.0147189,6.42014e-10,6.97292e-10,0.00446498,0.000356678,5.69827e-8,0.00120037
US-NC,2019-02,2.59679e-7,0.0000690598,0.00538488,1.95937e-10,8.90072e-10,0.00402278,0.000494734,0.00000188314,0.0029646
US-ND,2019-02,1.67779e-7,0.0000155297,0.0198326,1.61638e-9,8.08406e-10,0.00366016,0.000301073,5.6919e-10,0.00192883
US-NE,2019-02,1.15999e-7,0.0000161,0.0130799,1.08862e-9,5.70267e-10,0.00255113,0.000202352,2.15252e-7,0.00149095
US-NH,2019-02,9.6629e-8,0.000224659,0.00707866,3.5821e-10,1.68137e-9,0.00915235,0.000393866,0.00000765984,0.00772423
US-NJ,2019-02,8.22757e-8,0.0000318676,0.00113868,5.05177e-11,3.20665e-10,0.00142408,0.000150539,9.82671e-7,0.00125859
US-NM,2019-02,2.67619e-7,0.0000192863,0.0167361,1.37504e-9,8.581e-10,0.00340012,0.000421118,5.26365e-8,0.00213745
US-NV,2019-02,5.03302e-7,0.0000332042,0.00892988,3.40288e-10,1.0671e-9,0.00403267,0.000850178,1.22836e-7,0.00246453
US-NY,2019-02,6.78057e-8,0.0000485159,0.00939339,3.64623e-10,6.87058e-10,0.00416559,0.000293649,0.00000126035,0.0019336
US-OH,2019-02,2.08882e-8,0.0000140922,0.00159646,1.29973e-10,1.50318e-10,0.000725724,0.0000436264,4.48906e-7,0.000589191
US-OK,2019-02,2.25153e-7,0.0000298697,0.0263055,2.11754e-9,1.13538e-9,0.0052345,0.000418649,3.1364e-7,0.00284635
US-OR,2019-02,1.16787e-7,0.000063614,0.0190284,6.08405e-10,1.18393e-9,0.00762905,0.000585837,0.00000126813,0.00265072
US-PA,2019-02,1.98804e-8,0.0000233911,0.00167489,1.19701e-10,2.09945e-10,0.00108768,0.0000551639,7.72066e-7,0.000880409
US-RI,2019-02,1.17273e-7,0.000117429,0.00514221,4.08182e-10,9.73646e-10,0.00479151,0.000263881,0.00000394641,0.00434553
US-SC,2019-02,4.69512e-8,0.0000602292,0.00149165,4.59321e-11,4.66453e-10,0.00246223,0.000137692,0.00000202121,0.00208802
US-SD,2019-02,1.49032e-7,0.0000300116,0.0259954,1.33751e-9,1.17563e-9,0.00716167,0.000572624,4.99096e-10,0.00211339
US-TN,2019-02,2.82588e-8,0.0000367132,0.00370477,6.37586e-11,3.92105e-10,0.00244073,0.000158046,0.00000107804,0.00127896
US-TX,2019-02,1.73181e-7,0.0000204782,0.0153467,1.30752e-9,7.14724e-10,0.00300391,0.000277265,2.74999e-7,0.00191113
US-UT,2019-02,2.06438e-7,0.0000164802,0.00505015,2.85643e-10,4.85967e-10,0.00186596,0.000344473,1.4894e-7,0.00119884
US-VA,2019-02,5.71777e-8,0.0000773716,0.00119715,4.93719e-11,5.67962e-10,0.00291893,0.000153707,0.00000264034,0.00267268
US-VT,2019-02,4.97244e-7,0.000497364,0.033855,1.54263e-9,4.65159e-9,0.0252825,0.00155579,0.000015853,0.0181935
US-WA,2019-02,8.47265e-8,0.0000670679,0.0218634,5.64458e-10,1.29261e-9,0.00887921,0.000648928,0.0000012339,0.00263583
US-WI,2019-02,4.04221e-8,0.0000520452,0.00365194,2.39983e-10,4.64445e-10,0.00245986,0.000124312,0.00000171284,0.00193146
US-WV,2019-02,2.0715e-8,0.00000302985,0.00302525,1.92991e-10,1.31244e-10,0.000720391,0.0000581093,4.80275e-11,0.000265694
US-WY,2019-02,7.48617e-8,0.00000629293,0.00742944,6.04738e-10,3.19237e-10,0.00140201,0.000129234,8.38764e-11,0.000766145
CA-AB,2019-03,8.51083e-8,0.000199778,0.00406598,3.07494e-10,1.40493e-9,0.00734073,0.000283791,0.00000694577,0.00687368
CA-BC,2019-03,7.48105e-8,0.0000667255,0.0248321,4.56743e-10,1.41998e-9,0.0102517,0.000764089,9.88536e-7,0.00250437
CA-MB,2019-03,7.92175e-8,0.0000452955,0.0286515,5.41074e-10,1.43801e-9,0.0107395,0.000843771,2.5194e-8,0.00185509
CA-NB,2019-03,8.22731e-8,0.0000918786,0.00977044,5.58364e-10,9.44504e-10,0.00522162,0.000291335,0.00000287733,0.0035101
