subdivision,year,adpe,ap,ctue,ctuh-c,ctuh-nc,gwp,ir,pm,wu
US-WA,2019,9.25825e-8,0.0000659403,0.021829,6.44667e-10,1.27912e-9,0.00861987,0.000630246,0.0000012304,0.00267562
US-WA,2020,1.04506e-7,0.0000624272,0.0241114,7.67905e-10,1.34318e-9,0.00902928,0.000672426,0.00000101552,0.00266321
US-WA,2021,1.07962e-7,0.0000660892,0.0240636,7.91549e-10,1.36287e-9,0.00907152,0.000670241,0.0000011581,0.00280743
US-WA,2022,9.95938e-8,0.0000610649,0.0238198,7.04194e-10,1.32878e-9,0.00904407,0.000677438,9.55656e-7,0.00256369
US-WA,2023,1.16143e-7,0.0000617256,0.0225471,7.29826e-10,1.29461e-9,0.0085419,0.000651614,0.00000105045,0.00265144
US-WA,2024,1.35788e-7,0.0000594888,0.0247767,8.49811e-10,1.37336e-9,0.00899104,0.000704395,8.71927e-7,0.00269691
US-WI,2019,4.1318e-8,0.0000547848,0.00369029,2.31279e-10,4.84967e-10,0.00258889,0.000131676,0.00000180221,0.00201595
US-WI,2020,4.36857e-8,0.0000485109,0.00372039,2.24604e-10,4.52414e-10,0.00241434,0.000133293,0.00000156891,0.00181323
US-WI,2021,6.19067e-8,0.0000446393,0.00337938,2.04977e-10,4.39052e-10,0.00223368,0.000150481,0.00000141532,0.00171951
US-WI,2022,1.07778e-7,0.0000522845,0.00428496,2.59545e-10,5.63606e-10,0.00272322,0.0002263,0.00000159933,0.00211012
US-WI,2023,1.36266e-7,0.0000473284,0.00427458,2.55079e-10,5.66087e-10,0.0025996,0.000261337,0.00000138064,0.00201445
US-WI,2024,2.8429e-7,0.0000523089,0.00659956,3.65229e-10,8.37138e-10,0.00348894,0.000495048,0.00000127023,0.00259333
US-WV,2019,1.88388e-8,0.00000253457,0.0026369,1.76816e-10,1.13122e-10,0.00060189,0.0000486938,3.95468e-11,0.000236159
US-WV,2020,2.43842e-8,0.00000329226,0.00327258,2.29681e-10,1.40593e-10,0.000725071,0.000058402,9.71992e-9,0.000307566
US-WV,2021,1.83302e-8,0.00000282659,0.00255376,1.71114e-10,1.11902e-10,0.000595593,0.0000475925,1.31465e-8,0.000240885
US-WV,2022,2.57757e-8,0.00000359475,0.00344209,2.42574e-10,1.48634e-10,0.000764403,0.0000613583,1.53296e-8,0.000328795
US-WV,2023,2.87577e-8,0.0000033947,0.00377968,2.72715e-10,1.59291e-10,0.000804419,0.0000654134,5.1497e-11,0.00034875
US-WV,2024,4.53015e-8,0.0000042784,0.00377406,2.56961e-10,1.85609e-10,0.000892366,0.0000930395,5.72578e-11,0.00040575
US-WY,2019,9.14261e-8,0.00000751467,0.00833731,6.68292e-10,3.71065e-10,0.00162449,0.000158642,9.77035e-11,0.000884793
US-WY,2020,1.11616e-7,0.00000923087,0.0108018,8.80896e-10,4.67441e-10,0.00203964,0.000191054,1.21753e-10,0.00112437
US-WY,2021,1.54752e-7,0.0000122757,0.0153252,1.29257e-9,6.46716e-10,0.00274643,0.000251218,1.60504e-10,0.00159057
US-WY,2022,1.65222e-7,0.0000130248,0.0165002,1.40035e-9,6.92069e-10,0.0029256,0.000265566,1.7027e-10,0.00170915
US-WY,2023,1.62416e-7,0.0000127015,0.0161227,1.37228e-9,6.76475e-10,0.00284811,0.000259411,1.65364e-10,0.0016744
US-WY,2024,2.44619e-7,0.000018286,0.0214834,1.81187e-9,9.43994e-10,0.00391612,0.000389504,2.27655e-10,0.00233079
