subdivision,year,adpe,ap,ctue,ctuh-c,ctuh-nc,gwp,ir,pm,wu
US-LA,2024,2.9798e-7,0.000502162,0.14227,1.86712e-9,1.82447e-8,0.446854,0.00935819,0.00000253639,0.0641199
US-MA,2019,5.54974e-7,0.00064413,0.112496,1.53833e-9,8.58475e-9,0.361498,0.00900217,0.0000159149,0.056352
US-MA,2020,6.70821e-7,0.000715441,0.121029,1.68492e-9,9.00287e-9,0.393708,0.00838457,0.0000178559,0.0476743
US-MA,2021,6.89578e-7,0.000701023,0.120544,1.67164e-9,8.92217e-9,0.390612,0.0083571,0.0000173473,0.0470505
US-MA,2022,7.42024e-7,0.000850007,0.130958,1.81967e-9,9.5604e-9,0.407762,0.0084106,0.0000240857,0.0469808
US-MA,2023,7.97808e-7,0.000704434,0.121193,1.7155e-9,9.05789e-9,0.388859,0.00846261,0.0000173899,0.0470679
US-MA,2024,5.61388e-7,0.000680106,0.121235,1.62793e-9,8.80736e-9,0.402154,0.00844947,0.0000162796,0.0480135
US-MD,2019,3.8414e-7,0.00047865,0.130035,1.97912e-9,2.21515e-8,0.32305,0.0104272,0.00000338477,0.0882811
US-MD,2020,3.85609e-7,0.000400278,0.109098,1.66198e-9,1.65788e-8,0.279312,0.0106959,0.00000355111,0.0877079
US-MD,2021,4.02991e-7,0.000470792,0.125918,1.92531e-9,2.10949e-8,0.311986,0.0104785,0.00000381973,0.0882592
US-MD,2022,4.15262e-7,0.00045348,0.122309,1.86857e-9,2.00108e-8,0.305695,0.010589,0.00000370487,0.0882914
US-MD,2023,4.34216e-7,0.000333658,0.0920499,1.39126e-9,1.16988e-8,0.247392,0.0106802,0.00000347863,0.083715
US-MD,2024,3.71746e-7,0.000290658,0.0780107,1.2167e-9,9.33939e-9,0.201386,0.010602,0.00000388413,0.0848839
US-ME,2019,3.92057e-7,0.0008211,0.0684528,2.34406e-9,7.57856e-9,0.139052,0.00301995,0.0000272431,0.0305726
US-ME,2020,4.04256e-7,0.000819612,0.0703179,2.37325e-9,7.53721e-9,0.146654,0.0031845,0.0000271005,0.0310638
US-ME,2021,4.63724e-7,0.000729736,0.0768984,2.40574e-9,7.56919e-9,0.184261,0.00413196,0.0000222285,0.0341576
US-ME,2022,5.35825e-7,0.000741255,0.0851768,2.40033e-9,7.56433e-9,0.203452,0.00443922,0.0000230961,0.0328382
US-ME,2023,6.19925e-7,0.000645343,0.0779555,2.35925e-9,7.14674e-9,0.178123,0.00422848,0.0000191768,0.0307961
US-ME,2024,5.1832e-7,0.000613751,0.0787607,2.44224e-9,6.75812e-9,0.177692,0.0040592,0.0000183225,0.0293146
