country,year,adpe,ap,ctue,ctuh-c,ctuh-nc,gwp,ir,pm,wu
BJ,2023,4.68055e-7,0.00186433,0.260191,0.0000122709,0.00000627486,0.611724,0.00727768,0.0000656965,0.0606766
BJ,2024,4.68055e-7,0.00186433,0.260191,0.0000122709,0.00000627486,0.611724,0.00727768,0.0000656965,0.0606766
BM,2019,3.59795e-7,0.000848801,0.116759,0.00000666592,0.00000340132,0.274125,0.00470711,0.0000311966,0.0335769
BM,2020,3.59795e-7,0.000848801,0.116759,0.00000666592,0.00000340132,0.274125,0.00470711,0.0000311966,0.0335769
BM,2021,3.59795e-7,0.000848801,0.116759,0.00000666592,0.00000340132,0.274125,0.00470711,0.0000311966,0.0335769
BM,2022,3.59795e-7,0.000848801,0.116759,0.00000666592,0.00000340132,0.274125,0.00470711,0.0000311966,0.0335769
BM,2023,3.59795e-7,0.000848801,0.116759,0.00000666592,0.00000340132,0.274125,0.00470711,0.0000311966,0.0335769
BM,2024,3.59795e-7,0.000848801,0.116759,0.00000666592,0.00000340132,0.274125,0.00470711,0.0000311966,0.0335769
BN,2019,2.4286e-7,0.000385983,0.119542,1.37644e-9,7.71259e-9,0.439508,0.00921246,0.00000274452,0.0501276
BN,2020,2.4286e-7,0.000385983,0.119542,1.37644e-9,7.71259e-9,0.439508,0.00921246,0.00000274452,0.0501276
BN,2021,2.4286e-7,0.000385983,0.119542,1.37644e-9,7.71259e-9,0.439508,0.00921246,0.00000274452,0.0501276
BN,2022,2.4286e-7,0.000385983,0.119542,1.37644e-9,7.71259e-9,0.439508,0.00921246,0.00000274452,0.0501276
BN,2023,2.4286e-7,0.000385983,0.119542,1.37644e-9,7.71259e-9,0.439508,0.00921246,0.00000274452,0.0501276
BN,2024,2.4286e-7,0.000385983,0.119542,1.37644e-9,7.71259e-9,0.439508,0.00921246,0.00000274452,0.0501276
BO,2019,2.79375e-7,0.000260403,0.0830974,1.05383e-9,5.5538e-9,0.274409,0.0062075,0.00000134043,0.0333856
BO,2020,3.30015e-7,0.000262717,0.0847389,1.08404e-9,5.69667e-9,0.280463,0.00639444,0.00000119954,0.0341392
BO,2021,3.75277e-7,0.00026821,0.0833965,1.11375e-9,5.70429e-9,0.272079,0.00629073,0.00000153486,0.0336414
BO,2022,3.94854e-7,0.000262622,0.087531,1.33767e-9,5.84394e-9,0.283783,0.00652252,0.00000103907,0.0347483
BO,2023,3.95133e-7,0.000275235,0.0934652,1.39855e-9,6.20257e-9,0.312073,0.00706815,8.28583e-7,0.0377803
BO,2024,3.66632e-7,0.000254198,0.0936965,1.30748e-9,6.07765e-9,0.315543,0.00710844,1.21733e-9,0.0373545
BR,2019,2.30189e-7,0.000285222,0.0596239,1.35248e-9,5.86789e-9,0.0921458,0.0023632,0.00000724111,0.0152672
BR,2020,2.68916e-7,0.000290201,0.0579686,1.3522e-9,5.37316e-9,0.0865143,0.00230351,0.0000077976,0.0143042
BR,2021,3.41871e-7,0.000388112,0.0736658,1.68572e-9,7.01755e-9,0.131849,0.00299634,0.0000107286,0.0185788
BR,2022,4.32725e-7,0.000213756,0.052115,1.49257e-9,4.33e-9,0.0645493,0.00227736,0.00000500723,0.0124808
BR,2023,6.019e-7,0.000202827,0.0522031,1.6339e-9,4.54238e-9,0.0589602,0.00240651,0.00000426372,0.0126026
BR,2024,6.69758e-7,0.000209169,0.0518176,1.43043e-9,4.6157e-9,0.0565261,0.00245197,0.00000465905,0.011881
BS,2019,2.3e-7,0.00588,0.444,5.63e-9,2.81e-8,0.944,0.00669,0.000254,0.0435
BS,2020,2.3e-7,0.00588,0.444,5.63e-9,2.81e-8,0.944,0.00669,0.000254,0.0435
BS,2021,2.3e-7,0.00588,0.444,5.63e-9,2.81e-8,0.944,0.00669,0.000254,0.0435
