subdivision,period,adpe,ap,ctue,ctuh-c,ctuh-nc,gwp,ir,pm,wu
CA-BC,2020-11,1.1894958458667723e-7,0.00013488920145975262,0.04597898496567429,1.8363270457357508e-7,9.763074777776534e-8,0.05686009550106345,0.0014179404944867915,0.0000016057853118035896,0.007628110924217243
CA-YT,2020-11,1.0359916260682827e-7,0.00019987076783623562,0.05510806053604799,3.16400985362128e-7,1.6750473045456726e-7,0.09028543950504353,0.0018204428467850453,0.0000027735554084193923,0.011419680789134141
CA-NT,2020-11,2.7053446572474815e-7,0.0007475206489903863,0.1542746362449693,0.00000143012637021648,7.528387084976226e-7,0.3707422515627196,0.005279842558876907,0.000012543146262721356,0.04595395124134936
CA-NU,2020-11,3.921191206543968e-7,0.0012423926380368097,0.24169728629856854,0.0000024370437474437628,0.0000012821174846625766,0.6242955521472393,0.008399113496932516,0.00002137841201431493,0.07690613496932515
CA-NL,2020-12,7.594537326751046e-8,0.00009046973884720372,0.03573323166472652,9.880064063310964e-8,5.304369652024386e-8,0.03427004262183654,0.0011310985978434248,8.223026896405944e-7,0.004573933653151171
CA-PE,2020-12,6.739491492615642e-7,0.00006125490124414987,0.07598067475030494,2.465502918041503e-8,1.2489152005425819e-8,0.016735186877745202,0.0010836741964121196,1.5211533372653126e-7,0.008014317755428286
CA-NS,2020-12,3.8883238098810456e-7,0.000993793574937606,0.20230239145686307,0.0000020331021035205926,0.0000010679160952841525,0.4973834478215121,0.006853852193723144,0.000016962270088796747,0.06193283124132811
CA-NB,2020-12,2.959175066791013e-7,0.00041080628894240754,0.09577203945135912,7.858512746982291e-7,4.148959829831715e-7,0.19684667922347762,0.007909165817548261,0.000006553934217570135,0.07063130006200982
CA-QC,2020-12,9.511941687323347e-8,0.00005533079573492581,0.031609181941068966,2.296326496233884e-8,1.3168651154047521e-8,0.0161239650916061,0.0009155402558876321,1.8685097131093014e-7,0.0026159648402210196
CA-ON,2020-12,3.337109531504865e-7,0.00016626085511911034,0.05423837031678154,2.5903608189681556e-7,1.3907681793183208e-7,0.06994408232085798,0.00866753461163781,0.0000021539760930301993,0.07729440521286161
CA-MB,2020-12,7.865685636461831e-8,0.000048754123557518906,0.029327867377220315,9.14634724710985e-9,5.9580855326229994e-9,0.012811054549025078,0.0008707175823205006,7.276747493374557e-8,0.0020744316235244776
CA-SK,2020-12,3.600263772144373e-7,0.0010298394045498611,0.20584514588304095,0.0000021110686222479125,0.0000011089353862496423,0.5160358507941296,0.0070729316924005884,0.000017616332337021145,0.06386156299321233
CA-AB,2020-12,4.1516660351398726e-7,0.0011011060236783756,0.2211839929838068,0.0000022629985674771978,0.0000011885707483972018,0.5524267291852826,0.00753242925916294,0.000018881562953527847,0.06864332696290534
CA-BC,2020-12,1.1115604888211088e-7,0.00012653802292629366,0.04408886304361216,1.7560137762985185e-7,9.327710386548798e-8,0.05266590475231271,0.0013647412119916324,0.0000014612099373070819,0.0070620075063152895
CA-YT,2020-12,1.2219823400771707e-7,0.0002663827968327695,0.06706744390971628,4.757636692035621e-7,2.5086535851826433e-7,0.1245179652973629,0.0022422477115801916,0.000003968958001176816,0.015615981660061772
CA-NT,2020-12,2.725215451568158e-7,0.0007678899565671649,0.1577792074967598,0.000001550084530357948,8.145946985757853e-7,0.3817256440790442,0.005414228115886495,0.000012935168639499774,0.04725593676365339
CA-NU,2020-12,3.9277138246369005e-7,0.0012410134480903708,0.24174781710597087,0.000002564023066164604,0.0000013466976385153303,0.6244687466379772,0.008401686928456158,0.000021399248450779982,0.07691828940290477
CA-NL,2021-01,7.418327370963201e-8,0.00008203845649345632,0.034177435567298284,1.430086575406421e-7,7.515004851353696e-8,0.0310109030288003,0.0011110280103655784,7.273559527186448e-7,0.004172609825901773
CA-PE,2021-01,6.725836962487781e-7,0.00006530176309285276,0.07647927911482881,5.4196183169658e-8,2.763365368942126e-8,0.019176753159127684,0.0011198847044126769,2.4373882455686223e-7,0.008287609147849059
CA-NS,2021-01,3.736055600233382e-7,0.0009314824223186861,0.1892066354638287,0.0000033714179747286963,0.0000017444304932196631,0.49065516276346394,0.007242330402676978,0.000017170255582763852,0.06096057422112451
